Timestamp,Temperature (C),Humidity (%)
2026-06-06 18:29:02,35.0,63.3
2026-06-06 18:29:04,35.0,63.3
2026-06-06 18:29:06,35.0,63.4
2026-06-06 18:29:08,35.0,63.4
2026-06-06 18:29:12,35.0,63.4
2026-06-06 18:29:14,34.9,63.7
2026-06-06 18:29:18,34.9,63.7
2026-06-06 18:29:20,34.9,63.8
2026-06-06 18:29:22,34.9,63.8
2026-06-06 18:29:24,34.9,63.8
2026-06-06 18:29:26,34.9,63.8
2026-06-06 18:29:34,34.9,63.8
2026-06-06 18:29:35,34.9,63.8
2026-06-06 18:29:35,34.9,63.8
2026-06-06 18:29:35,34.9,63.9
2026-06-06 18:29:35,34.9,63.9
2026-06-06 18:29:35,34.9,63.8
2026-06-06 18:29:36,34.9,63.9
2026-06-06 18:29:39,34.9,64.0
2026-06-06 18:29:41,34.9,64.0
2026-06-06 18:29:43,34.9,64.0
2026-06-06 18:29:45,34.9,64.0
2026-06-06 18:29:47,34.9,64.0
2026-06-06 18:29:49,34.9,64.0
2026-06-06 18:29:51,34.9,64.0
2026-06-06 18:29:55,34.9,64.0
2026-06-06 18:29:57,34.9,64.0
2026-06-06 18:29:59,34.9,64.0
2026-06-06 18:30:02,34.9,64.0
2026-06-06 18:30:03,34.9,64.0
2026-06-06 18:30:07,34.9,64.0
2026-06-06 18:30:09,34.9,63.9
2026-06-06 18:30:14,35.0,63.7
2026-06-06 18:30:15,35.0,63.6
2026-06-06 18:30:17,35.0,63.6
2026-06-06 18:30:19,35.0,63.6
2026-06-06 18:30:21,35.0,63.6
2026-06-06 18:30:23,35.0,63.6
2026-06-06 18:30:25,35.0,63.6
2026-06-06 18:30:27,35.0,63.5
2026-06-06 18:30:29,35.0,63.5
2026-06-06 18:30:33,35.0,63.4
2026-06-06 18:30:36,35.0,63.4
2026-06-06 18:30:38,35.0,63.4
2026-06-06 18:30:40,35.0,63.4
2026-06-06 18:30:42,35.0,63.4
2026-06-06 18:30:44,35.1,63.4
2026-06-06 18:30:46,35.1,63.4
2026-06-06 18:30:48,35.1,63.4
2026-06-06 18:30:50,35.1,63.4
2026-06-06 18:30:54,35.1,63.4
2026-06-06 18:30:56,35.1,63.4
2026-06-06 18:30:58,35.1,63.3
2026-06-06 18:31:00,35.1,63.3
2026-06-06 18:31:02,35.1,63.3
2026-06-06 18:31:04,35.1,63.3
2026-06-06 18:31:06,35.1,63.3
2026-06-06 18:31:08,35.1,63.3
2026-06-06 18:31:10,35.1,63.3
2026-06-06 18:31:12,35.1,63.3
2026-06-06 18:31:16,35.1,63.2
2026-06-06 18:31:18,35.1,63.2
2026-06-06 18:31:21,35.1,63.2
2026-06-06 18:31:22,35.1,63.2
2026-06-06 18:31:25,35.1,63.1
2026-06-06 18:31:27,35.2,63.1
2026-06-06 18:31:29,35.1,63.1
2026-06-06 18:31:31,35.1,63.0
2026-06-06 18:31:32,35.1,63.0
2026-06-06 18:31:33,35.1,63.0
2026-06-06 18:31:37,35.2,62.9
2026-06-06 18:31:39,35.2,62.9
2026-06-06 18:31:41,35.2,62.8
2026-06-06 18:31:43,35.2,62.8
2026-06-06 18:31:45,35.2,62.7
2026-06-06 18:31:47,35.2,62.7
2026-06-06 18:31:49,35.2,62.6
2026-06-06 18:31:52,35.2,62.6
2026-06-06 18:31:52,35.1,62.6
2026-06-06 18:31:53,35.2,62.6
2026-06-06 18:31:55,35.1,62.6
2026-06-06 18:31:57,35.1,62.6
2026-06-06 18:32:01,35.1,62.6
2026-06-06 18:32:03,35.1,62.7
2026-06-06 18:32:05,35.1,62.7
2026-06-06 18:32:07,35.1,62.8
2026-06-06 18:32:11,35.0,62.8
2026-06-06 18:32:13,35.0,62.8
2026-06-06 18:32:15,35.0,62.9
2026-06-06 18:32:17,35.0,62.9
2026-06-06 18:32:19,35.0,63.0
2026-06-06 18:32:22,35.0,63.0
2026-06-06 18:32:24,35.0,63.1
2026-06-06 18:32:26,35.0,63.1
2026-06-06 18:32:28,34.9,63.5
2026-06-06 18:32:32,34.9,63.6
2026-06-06 18:32:34,34.9,63.6
2026-06-06 18:32:36,34.9,63.7
2026-06-06 18:32:38,34.9,63.7
2026-06-06 18:32:40,34.9,63.7
2026-06-06 18:32:42,34.9,63.7
2026-06-06 18:32:44,34.9,63.7
2026-06-06 18:32:46,34.9,63.7
2026-06-06 18:32:48,34.9,63.8
2026-06-06 18:32:50,34.8,63.8
2026-06-06 18:32:54,34.9,63.9
2026-06-06 18:32:56,34.8,63.8
2026-06-06 18:32:58,34.8,63.9
2026-06-06 18:33:00,34.8,63.9
2026-06-06 18:33:02,34.8,64.0
2026-06-06 18:33:04,34.8,63.9
2026-06-06 18:33:06,34.8,64.0
2026-06-06 18:33:08,34.8,64.0
2026-06-06 18:33:10,34.8,64.0
2026-06-06 18:33:14,34.8,64.0
2026-06-06 18:33:17,34.8,64.0
2026-06-06 18:33:19,34.8,64.0
2026-06-06 18:33:21,34.8,64.1
2026-06-06 18:33:23,34.8,64.1
2026-06-06 18:33:25,34.8,64.1
2026-06-06 18:33:27,34.8,64.1
2026-06-06 18:33:29,34.8,64.1
2026-06-06 18:33:31,34.8,64.1
2026-06-06 18:33:35,34.7,64.2
2026-06-06 18:33:37,34.7,64.2
2026-06-06 18:33:39,34.7,64.2
2026-06-06 18:33:41,34.7,64.2
