Thoi Gian,Nhiet Do (C),Do Am (%),PM2.5 (ug/m3),PM10 (ug/m3)
2026-06-20 17:10:43,32.0,55.0,9,10
2026-06-20 17:10:45,32.0,55.0,9,10
2026-06-20 17:10:48,32.0,55.0,9,9
2026-06-20 17:10:50,32.0,55.0,8,9
2026-06-20 17:10:52,32.0,55.0,8,9
2026-06-20 17:10:54,32.0,55.0,8,9
2026-06-20 17:10:56,32.0,55.0,8,9
2026-06-20 17:10:58,32.0,55.0,8,8
2026-06-20 17:11:00,32.0,55.0,8,8
2026-06-20 17:11:02,32.0,55.0,8,8
2026-06-20 17:11:05,32.0,55.0,7,8
2026-06-20 17:11:07,32.0,55.0,7,8
2026-06-20 17:11:09,32.0,55.0,7,8
2026-06-20 17:11:45,33.0,55.0,0,0
2026-06-20 17:11:47,33.0,55.0,8,9
2026-06-20 17:11:49,33.0,55.0,8,9
2026-06-20 17:11:51,33.0,55.0,8,9
2026-06-20 17:11:53,33.0,55.0,8,9
2026-06-20 17:11:55,33.0,55.0,8,9
2026-06-20 17:11:58,33.0,55.0,8,9
2026-06-20 17:12:00,33.0,55.0,8,9
2026-06-20 17:12:03,33.0,55.0,9,9
2026-06-20 17:12:03,33.0,55.0,9,9
2026-06-20 17:12:04,33.0,55.0,9,9
2026-06-20 17:12:06,33.0,55.0,9,9
2026-06-20 17:12:08,33.0,55.0,9,9
2026-06-20 17:12:10,33.0,55.0,9,10
2026-06-20 17:12:12,33.0,55.0,9,10
2026-06-20 17:12:15,33.0,55.0,9,10
2026-06-20 17:12:17,33.0,55.0,9,10
2026-06-20 17:12:19,33.0,55.0,8,9
2026-06-20 18:10:46,34.0,58.0,23,25
2026-06-20 18:10:48,34.0,58.0,24,26
2026-06-20 18:10:50,34.0,58.0,24,26
2026-06-20 18:10:52,34.0,58.0,25,27
2026-06-20 18:10:54,34.0,58.0,25,27
2026-06-20 18:10:57,34.0,58.0,25,27
2026-06-20 18:10:59,34.0,58.0,25,27
2026-06-20 18:11:01,34.0,58.0,25,27
2026-06-20 18:11:03,34.0,58.0,25,27
2026-06-20 18:11:05,34.0,58.0,25,27
2026-06-20 18:11:07,34.0,58.0,25,28
2026-06-20 18:11:09,34.0,58.0,25,28
2026-06-20 18:11:11,34.0,58.0,25,28
2026-06-20 18:11:41,34.0,57.0,28,32
2026-06-20 18:11:46,34.0,57.0,28,32
2026-06-20 18:11:51,34.0,57.0,28,32
2026-06-20 18:11:56,34.0,57.0,29,33
2026-06-20 18:12:02,34.0,57.0,30,34
2026-06-20 18:12:06,34.0,57.0,31,36
2026-06-20 18:12:11,34.0,57.0,32,37
2026-06-20 18:12:16,34.0,57.0,32,37
